,Part_of_speech,Count
0,NOUN,202
1,VERB,148
2,ADP,103
3,ADV,56
4,PRON,51
5,ADJ,51
6,CCONJ,34
7,NUM,25
8,DET,19
9,PART,19
10,<root>,18
11,PROPN,17
12,AUX,16
13,SCONJ,12
14,INTJ,1
