,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
64.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
65.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
66.0,1.0,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать",,
67.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
68.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
69.0,26.0,"знать, сказать, говорить, почему, хотеть, вопрос, понимать, вообще, думать, слово",,
70.0,26.0,"знать, сказать, говорить, почему, хотеть, вопрос, понимать, вообще, думать, слово",,
71.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
72.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
73.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
74.0,6.0,"интернет, проект, программа, информация, саит, компания, клиент, реклама, телефон, компьютер",,
75.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
76.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
77.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
78.0,19.0,"лето, рука, вода, снег, лес, место, осень, видеть, цветок, дерево",,
79.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
80.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
81.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
82.0,8.0,"идти, сказать, пока, решить, пойти, стоять, общем, вообще, думать, дело",,
83.0,1.0,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать",,
84.0,21.0,"человек, врач, мозг, говорить, мочь, кровь, время, больница, делать, болезнь",,
85.0,12.0,"бог, слово, человек, время, церковь, говорить, русский, вера, народ, жизнь",,
86.0,3.0,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать",,
87.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
88.0,27.0,"день, сегодня, утро, вечер, час, ночь, вчера, спать, завтра, хотеться",,
89.0,3.0,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать",,
90.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
91.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
92.0,15.0,"подарок, праздник, очень, кофе, стол, магазин, пиво, пить, еда, стоять",,
93.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
94.0,24.0,"являться, должный, система, иметь, общество, существовать, процесс, вопрос, развитие, источник",,
95.0,27.0,"день, сегодня, утро, вечер, час, ночь, вчера, спать, завтра, хотеться",,
96.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
97.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
98.0,19.0,"лето, рука, вода, снег, лес, место, осень, видеть, цветок, дерево",,
99.0,2.0,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер",,
100.0,12.0,"бог, слово, человек, время, церковь, говорить, русский, вера, народ, жизнь",,
101.0,13.0,"деньга, рублеи, купить, цена, магазин, работать, получить, квартира, платить, месяц",,
102.0,24.0,"являться, должный, система, иметь, общество, существовать, процесс, вопрос, развитие, источник",,
103.0,1.0,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать",,
104.0,23.0,"время, мочь, свет, земля, солнце, вода, движение, находиться, воздух, сторона",,
105.0,25.0,"работа, школа, работать, заниматься, год, учиться, класс, учитель, курс, язык",,
106.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
107.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",,
108.0,4.0,"игра, играть, команда, клуб, стать, сеичас, победа, первый, игрок, место",,
109.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
110.0,4.0,"игра, играть, команда, клуб, стать, сеичас, победа, первый, игрок, место",,
111.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
112.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
113.0,19.0,"лето, рука, вода, снег, лес, место, осень, видеть, цветок, дерево",,
114.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
115.0,18.0,"фильм, книга, год, картина, цвет, автор, стиль, кино, представить, образ",,
116.0,25.0,"работа, школа, работать, заниматься, год, учиться, класс, учитель, курс, язык",,
117.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
118.0,11.0,"тело, организм, продукт, вес, поэтому, также, здоровье, время, питание, кожа",,
119.0,9.0,"нужный, важный, мочь, время, результат, цель, очень, вопрос, дело, способ",,
120.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
121.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
122.0,8.0,"идти, сказать, пока, решить, пойти, стоять, общем, вообще, думать, дело",,
123.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
124.0,25.0,"работа, школа, работать, заниматься, год, учиться, класс, учитель, курс, язык",,
125.0,20.0,"человек, жизнь, мир, чувство, людеи, любовь, любить, жить, мысль, чувствовать",,
126.0,26.0,"знать, сказать, говорить, почему, хотеть, вопрос, понимать, вообще, думать, слово",,
127.0,8.0,"идти, сказать, пока, решить, пойти, стоять, общем, вообще, думать, дело",,
128.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
129.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
130.0,4.0,"игра, играть, команда, клуб, стать, сеичас, победа, первый, игрок, место",,
131.0,4.0,"игра, играть, команда, клуб, стать, сеичас, победа, первый, игрок, место",,
132.0,0.0,"право, закон, дело, гражданин, документ, должный, суд, вопрос, президент, сотрудник",,
133.0,28.0,"год, стать, время, жить, решить, начать, история, месяц, работа, вернуться",,
134.0,3.0,"ребёнок, мама, год, детеи, семья, муж, родитель, сын, дом, мать",,
135.0,2.0,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер",,
136.0,13.0,"деньга, рублеи, купить, цена, магазин, работать, получить, квартира, платить, месяц",,
137.0,17.0,"рука, собака, дверь, кошка, дом, животное, окно, кот, глаз, комната",,
138.0,8.0,"идти, сказать, пока, решить, пойти, стоять, общем, вообще, думать, дело",,
139.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
140.0,30.0,"год, страна, рынок, компания, бизнес, рост, уровень, цена, производство, экономика",,
141.0,7.0,"вообще, вполне, например, правда, часть, первый, совершенно, факт, слово, однако",,
142.0,1.0,"человек, нужный, делать, мочь, проблема, жизнь, хотеть, время, стать, сделать",,
143.0,5.0,"страна, год, народ, власть, военный, русский, воин, армия, стать, государство",,
144.0,2.0,"автомобиль, машина, иметь, машин, также, модель, качество, новый, использовать, размер",,
145.0,10.0,"женщина, мужчина, девушка, отношение, жена, любить, муж, пара, любовь, семья",,
146.0,14.0,"место, дорога, город, ехать, час, очень, путь, метро, машина, автобус",,
147.0,29.0,"очень, интересный, канал, писать, спасибо, статья, читать, хотеть, комментарий, подписываитесь",,
148.0,15.0,"подарок, праздник, очень, кофе, стол, магазин, пиво, пить, еда, стоять",,
149.0,7.0,"вообще, вполне, например, правда, часть, первый, совершенно, факт, слово, однако",,
