,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,25.0,"кожа, знать, подарок, помогать, средство, отзыв, крем, точно, экстракт, орхидея",16.0,0.0625
1.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",16.0,0.0625
2.0,4.0,"телефон, получить, банк, карта, вопрос, документ, оператор, почта, заявка, способ",10.0,0.0391
3.0,10.0,"желание, сделать, месяц, мужчина, начать, план, видеть, выглядеть, книга, узнать",11.0,0.043
4.0,19.0,"саит, школа, начинать, язык, разный, работать, время, заниматься, рабочий, создать",11.0,0.043
5.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",2.0,0.0078
6.0,10.0,"желание, сделать, месяц, мужчина, начать, план, видеть, выглядеть, книга, узнать",6.0,0.0234
7.0,15.0,"первый, стоять, пока, остаться, подробнее, второй, этои, смочь, такои, интересный",13.0,0.0508
8.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",2.0,0.0078
9.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",6.0,0.0234
10.0,19.0,"саит, школа, начинать, язык, разный, работать, время, заниматься, рабочий, создать",8.0,0.0312
11.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",3.0,0.0117
12.0,3.0,"проект, часть, дом, тип, вид, вариант, комната, отличный, площадь, изделие",7.0,0.0273
13.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",11.0,0.043
14.0,27.0,"программа, отдых, специалист, хороший, центр, отель, готовый, процедура, оборудование, гость",2.0,0.0078
15.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",9.0,0.0352
16.0,30.0,"цена, рублеи, товар, скидка, магазин, покупка, обзор, новинка, выгодный, кстати",8.0,0.0312
17.0,17.0,"компания, клиент, продукт, технология, мобильный, доступный, позволять, работа, работать, возможность",13.0,0.0508
18.0,13.0,"купить, золото, кольцо, украшение, рука, серьга, дерево, золотой, дешёвый, браслет",9.0,0.0352
19.0,15.0,"первый, стоять, пока, остаться, подробнее, второй, этои, смочь, такои, интересный",6.0,0.0234
20.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",3.0,0.0117
21.0,5.0,"режим, игра, танк, игрок, состояние, огромный, карта, команда, существовать, условие",7.0,0.0273
22.0,21.0,"развивать, игрушка, статья, детский, каждыи, детеи, друг, ребёнок, конструктор, музыкальный",6.0,0.0234
23.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",6.0,0.0234
24.0,31.0,"система, работа, высокий, диск, производство, материал, объём, качество, ремонт, контроль",3.0,0.0117
25.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",10.0,0.0391
26.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",7.0,0.0273
27.0,16.0,"уровень, различный, хороший, конец, новый, возможный, цена, собрать, игра, слишком",9.0,0.0352
28.0,6.0,"место, город, вид, компания, известный, необходимый, список, вечер, стоять, человек",7.0,0.0273
29.0,0.0,"версия, также, серия, память, новый, год, камера, использоваться, смартфон, функция",6.0,0.0234
30.0,22.0,"год, автор, мир, главный, книга, ждать, девушка, событие, сериал, страна",11.0,0.043
31.0,17.0,"компания, клиент, продукт, технология, мобильный, доступный, позволять, работа, работать, возможность",12.0,0.0469
32.0,7.0,"очень, удобный, иметь, ссылка, прибор, внимание, использовать, вещь, цвет, размер",,
33.0,31.0,"система, работа, высокий, диск, производство, материал, объём, качество, ремонт, контроль",,
34.0,9.0,"жизнь, образ, человек, техника, здоровье, сила, труд, использование, учёный, основа",,
35.0,6.0,"место, город, вид, компания, известный, необходимый, список, вечер, стоять, человек",,
36.0,8.0,"жизнь, выход, мука, февраль, дата, чтo, крышка, пудры, сахарнои, ранее",,
37.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",,
38.0,17.0,"компания, клиент, продукт, технология, мобильный, доступный, позволять, работа, работать, возможность",,
39.0,16.0,"уровень, различный, хороший, конец, новый, возможный, цена, собрать, игра, слишком",,
40.0,2.0,"хотеть, курс, важный, человек, очень, искать, канал, людеи, какои, решить",,
41.0,18.0,"автомобиль, кроссовер, элемент, авто, мм, размер, год, установить, кредит, способный",,
42.0,1.0,"история, имя, платье, сегодня, стать, любить, мероприятие, представить, дело, выбрать",,
43.0,17.0,"компания, клиент, продукт, технология, мобильный, доступный, позволять, работа, работать, возможность",,
44.0,3.0,"проект, часть, дом, тип, вид, вариант, комната, отличный, площадь, изделие",,
45.0,13.0,"купить, золото, кольцо, украшение, рука, серьга, дерево, золотой, дешёвый, браслет",,
46.0,27.0,"программа, отдых, специалист, хороший, центр, отель, готовый, процедура, оборудование, гость",,
47.0,29.0,"год, сеть, проект, говорить, продажа, новогодний, слово, сервис, работать, одноклассник",,
48.0,19.0,"саит, школа, начинать, язык, разный, работать, время, заниматься, рабочий, создать",,
49.0,9.0,"жизнь, образ, человек, техника, здоровье, сила, труд, использование, учёный, основа",,
50.0,10.0,"желание, сделать, месяц, мужчина, начать, план, видеть, выглядеть, книга, узнать",,
