,Dependencies,Count
0,case,103
1,obl,92
2,advmod,73
3,conj,65
4,nsubj,56
5,nmod,52
6,obj,48
7,amod,48
8,parataxis,36
9,cc,33
10,det,19
11,,18
12,root,18
13,xcomp,12
14,nummod:gov,12
15,mark,12
16,aux,12
17,iobj,10
18,nummod,9
19,ccomp,7
20,csubj,6
21,advcl,5
22,fixed,5
23,acl,3
24,cop,2
25,appos,2
26,discourse,1
27,punct,0
