,Part_of_speech,Count
0,NOUN,78
1,NUM,36
2,ADP,34
3,PROPN,19
4,ADJ,11
5,VERB,11
6,<root>,7
7,CCONJ,7
8,ADV,6
9,PRON,1
10,DET,1
11,AUX,1
12,PART,0
