,Dependencies,Count
0,nmod,50
1,case,34
2,nsubj,15
3,nummod,15
4,nummod:gov,15
5,obl,14
6,conj,11
7,amod,8
8,,7
9,root,7
10,cc,7
11,advmod,7
12,parataxis,7
13,appos,5
14,obj,2
15,det,1
16,csubj,0
17,aux,0
18,flat:name,0
19,cop,0
