,Part_of_speech,Count
0,NOUN,21
1,ADP,13
2,VERB,10
3,NUM,7
4,ADJ,6
5,PROPN,6
6,<root>,4
7,CCONJ,3
8,PART,2
9,ADV,2
10,PRON,1
