,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,24.0,"дом, дверь, квартира, жить, комната, собака, кот, кошка, окно, пока",147.0,0.049
1.0,26.0,"сказать, врач, стать, болеть, сеичас, кровь, глаз, ждать, больница, мочь",106.0,0.0353
2.0,26.0,"сказать, врач, стать, болеть, сеичас, кровь, глаз, ждать, больница, мочь",146.0,0.0487
3.0,27.0,"сегодня, подарок, праздник, вчера, январь, подарить, друг, белый, желать, делать",126.0,0.042
4.0,23.0,"очень, книга, любить, новый, нравиться, жизнь, фильм, первый, разный, свет",91.0,0.0303
5.0,6.0,"школа, класс, учиться, тема, история, урок, получить, вести, дело, учитель",65.0,0.0217
6.0,3.0,"лето, снег, вода, день, цветок, осень, месяц, дождь, ходить, гулять",74.0,0.0247
7.0,23.0,"очень, книга, любить, новый, нравиться, жизнь, фильм, первый, разный, свет",116.0,0.0387
8.0,30.0,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра",68.0,0.0227
9.0,30.0,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра",72.0,0.024
10.0,10.0,"еда, есть, кофе, вино, вкусный, пиво, вкус, стол, бутылка, пить",127.0,0.0423
11.0,20.0,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать",114.0,0.038
12.0,24.0,"дом, дверь, квартира, жить, комната, собака, кот, кошка, окно, пока",74.0,0.0247
13.0,8.0,"очень, сказать, вообще, решить, такои, какои, знать, говорить, сильно, тип",57.0,0.019
14.0,4.0,"очень, день, море, место, туда, местный, пляж, путешествие, остров, похожий",71.0,0.0237
15.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",62.0,0.0207
16.0,25.0,"сказать, стать, девушка, мужчина, начать, парень, женщина, хотеть, жена, спросить",84.0,0.028
17.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",82.0,0.0273
18.0,30.0,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра",61.0,0.0203
19.0,13.0,"смотреть, идти, сидеть, пойти, думать, стоять, глаз, голова, говорить, выйти",102.0,0.034
20.0,29.0,"играть, первый, команда, игра, клуб, второй, второи, остаться, дать, пока",136.0,0.0453
21.0,20.0,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать",60.0,0.02
22.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",44.0,0.0147
23.0,2.0,"человек, хотеть, мочь, любить, жизнь, знать, нужный, почему, говорить, жить",97.0,0.0323
24.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",116.0,0.0387
25.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",113.0,0.0377
26.0,12.0,"говорить, вопрос, человек, должный, сказать, ответ, знать, телефон, право, просить",86.0,0.0287
27.0,3.0,"лето, снег, вода, день, цветок, осень, месяц, дождь, ходить, гулять",103.0,0.0343
28.0,30.0,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра",68.0,0.0227
29.0,16.0,"рука, взять, глаз, пытаться, пока, минута, животное, долго, стоять, рядом",53.0,0.0177
30.0,25.0,"сказать, стать, девушка, мужчина, начать, парень, женщина, хотеть, жена, спросить",158.0,0.0527
31.0,2.0,"человек, хотеть, мочь, любить, жизнь, знать, нужный, почему, говорить, жить",121.0,0.0403
32.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",,
33.0,10.0,"еда, есть, кофе, вино, вкусный, пиво, вкус, стол, бутылка, пить",,
34.0,14.0,"язык, билет, русский, очень, народ, очередь, правда, метро, знать, вообще",,
35.0,10.0,"еда, есть, кофе, вино, вкусный, пиво, вкус, стол, бутылка, пить",,
36.0,25.0,"сказать, стать, девушка, мужчина, начать, парень, женщина, хотеть, жена, спросить",,
37.0,5.0,"вопрос, мир, иметь, ситуация, проблема, должный, процесс, цель, возможный, какои",,
38.0,20.0,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать",,
39.0,3.0,"лето, снег, вода, день, цветок, осень, месяц, дождь, ходить, гулять",,
40.0,3.0,"лето, снег, вода, день, цветок, осень, месяц, дождь, ходить, гулять",,
41.0,26.0,"сказать, врач, стать, болеть, сеичас, кровь, глаз, ждать, больница, мочь",,
42.0,11.0,"знать, думать, понимать, читать, казаться, вообще, почему, хотеться, сеичас, наверное",,
43.0,16.0,"рука, взять, глаз, пытаться, пока, минута, животное, долго, стоять, рядом",,
44.0,20.0,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать",,
45.0,14.0,"язык, билет, русский, очень, народ, очередь, правда, метро, знать, вообще",,
46.0,17.0,"место, гора, вода, дорога, вид, часть, идти, маршрут, дальше, берег",,
47.0,30.0,"день, утро, сегодня, вечер, ночь, час, работа, вчера, спать, завтра",,
48.0,18.0,"купить, магазин, сделать, покупать, стоять, цена, новыи, нужный, новый, вещь",,
49.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",,
50.0,23.0,"очень, книга, любить, новый, нравиться, жизнь, фильм, первый, разный, свет",,
51.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",,
52.0,8.0,"очень, сказать, вообще, решить, такои, какои, знать, говорить, сильно, тип",,
53.0,20.0,"новый, музыка, песня, хотеть, хороший, посмотреть, друг, группа, сегодня, писать",,
54.0,13.0,"смотреть, идти, сидеть, пойти, думать, стоять, глаз, голова, говорить, выйти",,
55.0,11.0,"знать, думать, понимать, читать, казаться, вообще, почему, хотеться, сеичас, наверное",,
56.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",,
57.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",,
58.0,0.0,"ребёнок, мама, муж, сын, год, жизнь, детеи, семья, бабушка, родитель",,
59.0,31.0,"ехать, дорога, машина, место, поехать, машин, автобус, путь, оказаться, минута",,
60.0,10.0,"еда, есть, кофе, вино, вкусный, пиво, вкус, стол, бутылка, пить",,
61.0,8.0,"очень, сказать, вообще, решить, такои, какои, знать, говорить, сильно, тип",,
